,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
387,waiouru,100,NZ,1571364925,56,-39.48,175.67,58.78,10.33
388,senanga,55,ZM,1571364926,21,-16.1,23.3,65.4,4.16
389,inhambane,0,MZ,1571364926,94,-23.87,35.38,61.04,1.83
390,malkapur,7,IN,1571364926,68,20.89,76.2,77.37,7.49
391,takoradi,11,GH,1571364926,95,4.89,-1.75,74.44,3.71
392,yavaros,0,MX,1571364926,78,26.7,-109.52,82.99,7.83
393,uvinza,80,TZ,1571364927,93,-5.1,30.39,65.51,2.98
394,belle fourche,1,US,1571364927,25,44.67,-103.85,66.2,4.7
395,yatou,40,CM,1571364927,100,3.63,9.81,77.0,12.64
396,ust-maya,55,RU,1571364928,94,60.42,134.54,32.78,2.91
397,wonthaggi,0,AU,1571364928,61,-38.6,145.59,66.99,16.62
398,hambantota,20,LK,1571364928,100,6.12,81.12,77.0,4.7
399,coahuayana,100,MX,1571364928,95,18.62,-100.35,70.17,0.11
400,parkes,0,AU,1571364928,16,-33.14,148.18,75.0,3.0
401,geraldton,90,CA,1571364929,69,49.72,-86.95,37.4,3.36
402,cape coast,15,GH,1571364929,89,5.11,-1.24,77.01,7.63
403,mayo,90,CA,1571364929,90,63.59,-135.9,33.8,4.7
404,keti bandar,0,PK,1571364929,73,24.14,67.45,83.33,11.65
405,prainha,100,BR,1571364929,94,-1.8,-53.48,74.54,1.23
406,bandarbeyla,100,SO,1571364930,77,9.49,50.81,75.35,8.46
407,miranda,1,BR,1571364930,59,-20.24,-56.38,77.84,3.56
408,glenwood springs,1,US,1571364930,17,39.55,-107.33,66.2,9.17
409,kapit,65,MY,1571364931,89,2.02,112.94,82.57,0.78
410,mehamn,98,NO,1571364931,79,71.03,27.85,29.54,11.56
411,roma,0,IT,1571364931,71,41.89,12.48,59.0,2.24
412,sabang,27,PH,1571364931,86,13.8,121.11,81.0,7.0
413,caravelas,0,BR,1571364932,79,-17.73,-39.27,73.5,9.13
414,durham,20,GB,1571364932,100,54.78,-1.58,50.0,4.7
415,portland,1,US,1571364932,81,43.66,-70.25,48.99,11.41
416,meulaboh,100,ID,1571364932,80,4.14,96.13,79.21,2.04
417,rawson,30,AR,1571364933,33,-43.3,-65.11,60.72,12.88
418,aksu,75,KZ,1571364933,78,52.04,76.93,32.0,8.95
419,wagar,100,US,1571364933,89,31.44,-87.99,57.99,4.65
420,sokoni,0,CD,1571364933,62,-12.89,28.78,58.54,5.53
421,fougamou,100,GA,1571364933,99,-1.22,10.59,71.2,2.62
422,port shepstone,1,ZA,1571364934,76,-30.74,30.45,62.92,3.0
423,danielskuil,1,ZA,1571364934,39,-28.19,23.54,61.94,7.2
424,mezen,90,RU,1571364934,88,65.85,44.24,28.48,5.21
425,touros,75,BR,1571364934,88,-5.2,-35.46,75.2,3.36
426,adrar,0,DZ,1571364935,23,27.87,-0.29,75.2,13.87
427,ambon,100,FR,1571364935,93,47.55,-2.56,59.0,14.99
428,bontang,12,ID,1571364935,43,0.12,117.47,97.08,1.32
429,juneau,90,US,1571364935,93,58.3,-134.42,46.4,5.82
430,amberley,100,NZ,1571364935,93,-43.15,172.73,51.01,11.41
431,tara,75,JP,1571364936,83,33.0,130.15,71.6,12.75
432,lakatoro,22,VU,1571364936,83,-16.11,167.42,79.21,18.79
433,lamar,1,US,1571364936,11,38.09,-102.62,75.2,17.22
434,oum hadjer,5,TD,1571364936,67,13.3,19.7,80.36,3.65
435,fortuna,20,US,1571364937,82,40.6,-124.16,55.99,3.36
436,lajas,40,PR,1571364937,78,18.05,-67.06,80.6,8.05
437,ishigaki,75,JP,1571364937,69,24.34,124.16,78.8,14.99
438,lakes entrance,3,AU,1571364937,36,-37.88,147.99,71.01,11.54
439,dunkwa,37,GH,1571364938,99,5.97,-1.78,71.52,2.53
440,copperas cove,1,US,1571364938,42,31.12,-97.9,62.6,4.7
441,kautokeino,100,NO,1571364938,94,69.01,23.04,25.03,13.89
442,benemerito de las americas,100,MX,1571364938,96,16.52,-90.64,73.14,3.56
443,chimbote,100,PE,1571364939,91,-9.08,-78.59,61.21,13.94
444,vestmannaeyjar,75,IS,1571364939,69,63.44,-20.27,44.16,3.4
445,tezu,0,IN,1571364939,56,27.93,96.16,77.14,2.19
446,kambove,44,CD,1571364939,44,-10.88,26.6,62.03,5.57
447,kropotkin,0,RU,1571364939,83,45.43,40.58,54.0,5.03
448,greenwood,69,CA,1571364940,88,49.09,-118.68,37.07,3.04
449,mikhaylovka,70,RU,1571364940,64,52.96,103.29,43.49,19.19
450,la asuncion,60,AR,1571364940,82,-26.05,-65.39,48.19,2.33
451,san policarpo,34,PH,1571364940,69,12.18,125.51,83.56,4.7
452,launceston,90,AU,1571364940,76,-41.43,147.14,54.0,24.16
453,smithers,90,CA,1571364941,66,54.78,-127.17,48.2,8.05
454,nurota,0,UZ,1571364941,75,40.56,65.69,42.8,11.21
455,priiskovyy,0,RU,1571364941,26,51.93,116.63,49.92,5.75
456,salamiyah,14,SY,1571364941,86,35.01,37.05,66.3,5.7
457,goderich,84,CA,1571364942,76,43.74,-81.71,51.01,23.04
458,tautira,20,PF,1571364942,70,-17.73,-149.15,84.2,14.99
459,olga,20,US,1571364942,64,34.11,-118.17,69.8,4.7
460,westport,90,US,1571364942,62,41.14,-73.36,55.99,14.99
461,mwinilunga,0,ZM,1571364942,41,-11.73,24.43,58.25,3.6
462,kokopo,100,PG,1571364943,67,-4.34,152.27,83.33,1.97
463,mugur-aksy,97,RU,1571364943,65,50.38,90.44,14.59,8.61
464,aktau,0,KZ,1571364943,62,43.65,51.16,51.8,11.18
465,harper,1,US,1571364943,42,30.3,-99.24,64.4,9.78
466,nena,40,CO,1571364943,83,3.7,-73.22,75.2,2.24
467,monrovia,40,LR,1571364944,94,6.33,-10.8,77.0,4.09
468,gotsu,75,JP,1571364944,100,35.01,132.22,62.6,3.36
469,impfondo,100,CD,1571364944,98,1.62,18.06,69.81,2.13
470,luau,98,CD,1571364944,91,-10.7,22.23,64.7,2.08
471,privolzhskiy,75,RU,1571364945,71,55.96,48.41,50.0,6.71
472,oltu,100,TR,1571364945,54,40.55,42.0,47.35,3.78
473,cachoeiras de macacu,0,BR,1571364945,93,-22.46,-42.65,64.99,4.03
474,taoudenni,8,ML,1571364945,29,22.68,-3.98,86.66,7.34
475,pipirig,0,RO,1571364945,81,47.23,26.08,54.0,1.12
476,verkhnyaya inta,78,RU,1571364946,92,65.99,60.32,18.37,2.57
477,altamira,97,BR,1571364946,89,-3.2,-52.21,74.62,1.07
478,joshimath,0,IN,1571364946,39,30.57,79.57,51.81,1.95
479,holalkere,74,IN,1571364946,82,14.04,76.18,73.63,8.46
480,mocuba,76,MZ,1571364947,88,-16.84,36.99,67.69,2.82
481,khvoynaya,100,RU,1571364947,96,58.9,34.53,41.53,2.75
482,sorland,99,NO,1571364947,83,67.67,12.69,43.12,5.57
483,oriximina,99,BR,1571364947,76,-1.77,-55.87,79.66,3.83
484,comodoro rivadavia,0,AR,1571364948,41,-45.87,-67.48,59.0,16.11
485,natal,75,BR,1571364948,88,-5.81,-35.21,77.0,3.36
486,nguru,43,NG,1571364948,56,12.88,10.45,81.6,6.73
487,marawi,93,PH,1571364948,77,8.0,124.29,84.0,5.01
488,katsuura,75,JP,1571364949,83,33.93,134.5,71.6,4.7
489,dillon,90,US,1571364949,93,45.22,-112.64,41.0,6.11
490,port blair,40,IN,1571364949,79,11.67,92.75,84.2,1.12
491,kutum,84,SD,1571364949,53,14.2,24.66,72.33,4.47
492,harqalah,7,SY,1571364949,39,35.96,38.95,70.03,4.79
493,kupang,20,ID,1571364950,58,-10.16,123.6,84.2,8.05
494,laguna,40,BZ,1571364950,94,16.17,-88.94,80.6,2.1
495,zenzeli,0,RU,1571364950,77,45.92,47.05,52.55,8.46
496,murgab,0,TM,1571364950,62,37.5,61.97,51.8,4.63
497,lanzhou,0,CN,1571364950,86,36.06,103.82,41.0,4.16
498,miles city,1,US,1571364951,66,46.41,-105.84,53.01,8.05
499,nelson bay,0,AU,1571364951,30,-32.72,152.14,73.0,11.41
500,bull savanna,56,JM,1571364951,75,17.89,-77.59,82.03,5.26
501,leh,97,IN,1571364951,75,34.16,77.58,24.77,1.23
502,qiqihar,100,CN,1571364952,31,47.35,123.91,56.49,10.38
503,quetta,0,PK,1571364952,19,30.19,67.02,58.16,1.28
504,hinton,31,CA,1571364952,90,53.4,-117.57,27.82,4.61
505,umm kaddadah,72,SD,1571364952,54,13.6,26.69,80.25,7.05
506,imbituba,75,BR,1571364952,94,-28.24,-48.67,71.6,4.7
507,paysandu,1,UY,1571364953,97,-32.32,-58.08,62.01,1.01
508,santa cruz,0,BR,1571364953,79,-6.22,-36.02,70.93,19.42
509,mackay,75,CA,1571364953,57,53.65,-115.58,50.0,4.7
510,taveta,75,TZ,1571364953,94,-3.4,37.68,68.0,4.9
511,ibra,0,OM,1571364953,25,22.69,58.55,77.01,1.83
512,pangody,0,RU,1571364954,75,65.85,74.49,19.07,15.32
513,sur,0,OM,1571364954,33,22.57,59.53,80.23,3.49
514,atherton,19,AU,1571364954,62,-17.27,145.48,90.0,9.17
515,ovalle,0,CL,1571364954,91,-30.6,-71.2,44.7,5.82
516,betare oya,100,CM,1571364955,94,5.6,14.08,64.93,1.23
517,fenyi,66,CN,1571364955,55,27.82,114.69,73.91,1.81
518,koumac,0,NC,1571364955,74,-20.56,164.28,72.64,16.13
519,adeje,100,NG,1571364955,89,5.68,5.76,77.35,5.19
520,genhe,100,CN,1571364956,35,50.78,121.52,48.52,4.03
521,bima,46,ID,1571364956,24,-8.45,118.73,98.97,2.3
522,atbasar,100,KZ,1571364956,92,51.81,68.36,32.71,17.22
523,luba,0,PH,1571364956,59,17.32,120.7,86.24,3.91
524,kortkeros,90,RU,1571364957,100,61.81,51.56,30.2,6.71
525,teupasenti,20,HN,1571364957,83,14.22,-86.7,69.8,4.7
526,san jose,1,HN,1571364957,78,14.25,-87.96,77.0,5.82
527,chincholi,69,IN,1571364957,82,17.47,77.42,75.25,9.91
